source,target,weight,color,group
Anacta Strategies Pty Ltd,Imperium Tourism Holdings Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Institute of Urban Indigenous Health,1,#fee440,Client
Anacta Strategies Pty Ltd,"Lion - Beer, Spirits & Wine Pty Ltd",1,#fee440,Client
Anacta Strategies Pty Ltd,LiveNation,1,#fee440,Client
Anacta Strategies Pty Ltd,MakeSport Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Maurice Blackburn,1,#fee440,Client
Anacta Strategies Pty Ltd,Nexport Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Phosphate International,1,#fee440,Client
Anacta Strategies Pty Ltd,Pinssar Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Plenary Group,1,#fee440,Client
Anacta Strategies Pty Ltd,Poseidon Sea Pilots Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,QER Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Queensland Motorways Pty Ltd ,1,#fee440,Client
Anacta Strategies Pty Ltd,Redman Solutions Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Salary Packaging Australia Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,SeaSwift,1,#fee440,Client
Anacta Strategies Pty Ltd,Shine Justice Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Smart Pups Assistance Dogs for Special Needs Children Inc,1,#fee440,Client
Anacta Strategies Pty Ltd,Streem Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Sunshine Coast Orthopaedic Group,1,#fee440,Client
Anacta Strategies Pty Ltd,URANNAH WATER SCHEME PTY LTD,1,#fee440,Client
Anacta Strategies Pty Ltd,Unitywater,1,#fee440,Client
Anacta Strategies Pty Ltd,Vast Solar Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Wanless Waste Management Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Watpac Construction (Qld) Pty Ltd ,1,#fee440,Client
Anacta Strategies Pty Ltd,White Wind Project No 1 Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,WorkHaven Pty Ltd,1,#fee440,Client
Anacta Strategies Pty Ltd,Yabbr Pty Ltd,1,#fee440,Client
