source,target,Weight,source type,target type,source color,target color
PremierNational,Antony Anisse,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Darrin Barnett,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Fiona Scott,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Georgia de Mestre,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Graham Richardson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Ian Hancock,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Ilana Waldman,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Lachlan Crombie,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Mark Jones,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Michael Photios,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
PremierNational,Thomas Kenny,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Primary Communication,Christopher Hall,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Primary Communication,Craig Regan,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Primary Communication,Duncan Bremner,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Primary Communication,Francesco Coletta,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Primary Communication,Jessie Nguyen,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Project Urban Pty Ltd,Andrew  Stevens,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Project Urban Pty Ltd,John McKennariery,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Promedia Public Relations,Alister Thomson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Promedia Public Relations,Jeremy Scott,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Promedia Public Relations,Jondayah Martin,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Promedia Public Relations,Karla Costello,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Promedia Public Relations,Melissa Burrell,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
