Client Name,Lobbyist,ABN
Naeco Pty Ltd,CMAX Advisory,73 130 740 546
Montezuma's Coolangatta Pty Ltd,Precise Hospitality Licensing,46220117164
Mojo's on North Pty Ltd,Jacaranda Advisory,41 673 550 487
NOVA SYSTEMS AUSTRALIA PTY LTD,CMAX Advisory,73 130 740 546
Moderna TX Inc,Richardson Coutts Pty Ltd,20 126 507 211
Minter Ellison,SEC Newgate,38162366056
Mineral Resources LTD,TG Public Affairs,23630677673
Navantia,CMAX Advisory,73 130 740 546
Minda Inc,The Write Connection,55 073 965 616
Moggill Cafe Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Moelis & Company,Statecraft Pty Ltd,90 116 598 924
MFB Properties Pty Ltd,Commercial Licensing Specialists,33 134 318 595
METS Ignited,PolicyWonks,50 463 070 316
Metro Trains Melbourne,Conlon Advisory,11 951 391 072
Metallica Minerals Ltd,Next Level Strategic Services,27 613 857 668
Meridian Energy Ltd,The Civic Group,57 157 925 365
Menulog,Cornerstone Group,9915 3936 719
National Capital Private Hospital,CMAX Advisory,73 130 740 546
Middle Green Sports Club,Jacaranda Advisory,41 673 550 487
MediaCom,Hawker Britton,79 109 681 405
McKenzie Aged Care Group ,Santoro Consulting,21 131 482 230
McCullough Robertson Lawyers,BBS Communications Group Pty Ltd,34 010 899 779
Metro Trains Australia,Conlon Advisory,11 951 391 072
Max Solutions Pty Ltd,Profile Consulting (Aust) Pty Ltd,47 166 122 434
Maurice Blackburn,Anacta Strategies Pty Ltd,64 633 978 677
MyState,Advisory Street Pty Ltd,28 613 329 472
Mental Health Commission of NSW,Primary Communication,36617864347
Martinus Rail Pty Ltd,Northstar Public Affairs Pty Ltd,25 638 744 046
Martin Brothers Pty Ltd,CT Group,72600464855
MARS WRIGLEY CONFECTIONERY,FPL Advisory,34123819385
Minderoo Foundation,SEC Newgate,38162366056
MARS Australia Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Mulpha Sanctuary Cove (Developments) Pty Ltd,Staerk Government and Media,32 844 592 574
Marquis Macadamias,Next Level Strategic Services,27 613 857 668
Maru International Pty Ltd,Precise Hospitality Licensing,46220117164
MANSKI Pty Ltd,TG Public Affairs,23630677673
McConaghy Properties Pty Ltd,PremierNational,71 619 450 841
Manasvi Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Manawari Pty Ltd,Precise Hospitality Licensing,46220117164
MakeSport Pty Ltd,Anacta Strategies Pty Ltd,64 633 978 677
Mahboba's Promise,Northstar Public Affairs Pty Ltd,25 638 744 046
Magpies Sporting Club,DWS Hospitality Specialists,50 113 985 247
Marand Precision Engineering Pty Ltd,TG Public Affairs,23630677673
Magia Solutions Pty Ltd,Hawker Britton,79 109 681 405
McCain Foods (Australia),Porter Novelli Australia Pty Ltd,40079616050
Mad Monkey Trading Pty Ltd,Liquor Licensing Consultants,58 679 042 968
Macular Disease Foundation Australia,Ogilvy PR Agency Pty Limited,89 096 965 794
Macroplan,Spring Street Advisory,92 603 411 650
Manufacturing Australia,TG Public Affairs,23630677673
Macquarie Group Limited,Govstrat Pty Ltd,64 964 952 044
M Resources,CRISIS&COMMS CO,56 637 786 899
Mageba Australia Pty Ltd,Cornerstone Group,9915 3936 719
Luxury Escapes,Royce Comm,91 167 042 408
Lung Foundation Australia,Ogilvy PR Agency Pty Limited,89 096 965 794
Magnis Energy Technologies,PolicyWonks,50 463 070 316
Magnetic South,PolicyWonks,50 463 070 316
